id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-1,forks-9,14.142136,,0.0,0,0.0,0.0
1,producers-1,forks-10,10.0,DN100,2690.5871,1,243795.55610753657,0.67004934362
2,producers-2,forks-9,20.0,,0.0,0,0.0,0.0
3,forks-9,consumers-0,42.426407,,0.0,0,0.0,0.0
4,forks-9,consumers-2,10.0,,0.0,0,0.0,0.0
5,forks-10,consumers-2,14.142136,DN80,532.83439,1,315531.33718985354,0.6543878112494289
6,forks-10,forks-5,10.0,,0.0,0,0.0,0.0
7,forks-10,consumers-3,28.284271,,0.0,0,0.0,0.0
8,forks-10,forks-11,22.36068,DN80,1095.0336,1,499050.6437354685,1.3478254728625036
9,forks-10,consumers-6,41.231056,,0.0,0,0.0,0.0
10,forks-10,consumers-5,20.0,DN80,1062.0491,1,446356.4948833935,1.18909886162
11,forks-5,consumers-2,10.0,,0.0,0,0.0,0.0
12,forks-5,consumers-1,22.36068,,0.0,0,0.0,0.0
13,forks-5,forks-4,10.0,,0.0,0,0.0,0.0
14,forks-5,consumers-3,22.36068,,0.0,0,0.0,0.0
15,forks-5,forks-11,20.0,,0.0,0,0.0,0.0
16,forks-11,consumers-3,10.0,DN80,518.16907,1,223112.5713609605,0.45906891533700006
17,forks-11,consumers-6,20.0,DN80,575.51671,1,446238.9927183427,0.9467084249220001
18,forks-4,consumers-1,14.142136,,0.0,0,0.0,0.0
19,forks-4,consumers-3,20.0,,0.0,0,0.0,0.0
20,forks-0,consumers-0,20.0,DN32,74.630344,1,414793.89142896404,0.6303437018384
21,forks-0,consumers-1,10.0,,0.0,0,0.0,0.0
22,forks-3,consumers-1,10.0,,0.0,0,0.0,0.0
23,forks-6,forks-3,20.0,,0.0,0,0.0,0.0
24,forks-6,consumers-3,10.0,,0.0,0,0.0,0.0
25,forks-6,consumers-6,28.284271,,0.0,0,0.0,0.0
26,forks-8,consumers-6,20.0,,0.0,0,0.0,0.0
27,forks-0,consumers-7,10.0,,0.0,0,0.0,0.0
28,forks-12,forks-0,14.142136,DN32,75.076783,1,293303.8937823867,0.44643962647515373
29,forks-12,consumers-1,10.0,DN32,150.90207,1,207434.7039943025,0.4020682283510001
30,forks-12,consumers-7,10.0,DN100,1546.0302,1,243688.97129498096,0.5301844904399999
31,forks-1,consumers-7,14.142136,,0.0,0,0.0,0.0
32,forks-1,forks-12,10.0,DN100,1772.5669,1,243710.06711966777,0.55786727518
33,forks-1,consumers-8,10.0,DN50,317.47882,1,210674.15180294059,0.47882080410399996
34,forks-7,consumers-8,20.0,,0.0,0,0.0,0.0
35,forks-7,forks-6,20.0,,0.0,0,0.0,0.0
36,forks-7,consumers-6,44.72136,,0.0,0,0.0,0.0
37,forks-7,forks-8,28.284271,,0.0,0,0.0,0.0
38,producers-0,forks-1,14.142136,DN100,2090.8897,1,344700.0132520496,0.8439550476609983
39,producers-0,forks-2,10.0,,0.0,0,0.0,0.0
40,forks-2,consumers-8,14.142136,,0.0,0,0.0,0.0
41,forks-13,consumers-8,10.0,,0.0,0,0.0,0.0
42,producers-3,forks-2,14.142136,,0.0,0,0.0,0.0
43,producers-3,forks-13,10.0,,0.0,0,0.0,0.0
44,producers-3,forks-7,28.284271,,0.0,0,0.0,0.0
45,producers-4,forks-7,22.36068,,0.0,0,0.0,0.0
46,producers-4,forks-14,10.0,DN100,1658.06,1,243699.4038695726,0.5438745319999999
47,forks-14,consumers-9,10.0,DN100,1424.8154,1,243677.68338370544,0.51537204188
48,forks-14,consumers-4,14.142136,DN50,232.70076,1,297910.62523637846,0.6007582544485126
49,forks-7,consumers-4,20.0,,0.0,0,0.0,0.0
