timestep,0,1,2,3,4,5,6,7,8,9
84,27,132.7,473.68,451.53,212.3,609.72,459.35,984.4,152,697.24
85,26,132.1,479.88,441.94,213.99,588.09,422.11,968.5,158,441.99
86,25,130.1,491.51,443.06,216.66,540.82,422.46,971.6,159,430.71
87,23,130.6,489.32,430.15,217.52,517.79,426.31,991.6,136,428.11
88,23,131.1,479.66,441.17,213.22,525.72,421.81,983,143,416.69
89,26,130.7,463.9,453.73,211.3,567.64,487.97,950.2,161,898.6
90,28,130.1,455.84,463.8,207.64,581.14,488.02,918,196,904.23
91,24,129.9,452.72,468.52,204.24,641.87,483.94,902.8,156,907.1
92,25,130.9,451.8,464.6,201.56,633.36,419.23,899.1,164,430.87
93,26,131,452.18,465.52,201.08,622.41,412.13,880.7,141,429.37
94,26,129.1,456.44,453.54,200.15,551.61,413.51,856.4,141,428.86
95,24,127.9,462.73,443.01,197.25,509.93,414.21,852,137,421.91
96,20,128.3,462.35,440.77,193.2,478.72,420.69,827.4,133,419.39
97,19,126.7,461.47,438.84,195.38,458.25,423.19,831,113,427.96
98,18,126.2,454.72,440.59,194.22,443.84,417.49,827,103,436.28
99,17,126.2,457.85,441.69,194.5,442.63,413.59,832.5,103,448.35
100,15,127.4,462.89,444.17,195.7,433.01,415.52,841.2,106,454.74
101,17,128.8,472.32,448.52,198.88,459.18,422.9,847.7,109,471.53
102,23,127.9,473.85,448.54,206.73,506.32,451.91,869.8,135,641.73
103,28,128.8,468.32,451.17,215.3,544.03,450.67,907.2,160,636.54
104,26,130.2,459.12,443.16,212.17,542.05,445.59,952.5,188,626.81
105,28,129,468.25,440.63,208.98,588.89,419.89,997.9,185,460.72
106,29,128.7,484.11,452.38,224.67,622.92,463.47,999.5,175,736.42
107,30,129,501,452.76,223.28,653.74,460.43,1018.5,161,733.37
108,31,129.1,500.55,455.36,218.29,613.78,457.45,1033.5,156,732.15
109,32,128.2,503.95,438.97,218.65,614.83,410.22,1054.1,169,458.78
110,35,127.8,504.47,432.33,219.79,603.17,411.77,1067.9,167,469.72
111,32,128.2,498.8,434.02,220.47,611.45,414.21,1078.9,147,468.66
112,33,129.2,481.78,436.64,215.08,594.25,413.72,1077.9,165,482.47
113,34,130.7,473.1,456.72,210.87,631.71,474.07,1048.7,175,953.02
114,35,131.2,474.19,460.18,208.17,647.69,475.61,1002.3,193,950.38
115,36,130.6,479.7,463.65,204.82,621.84,478.86,973,166,952
116,38,130.6,479.75,457,203.07,583.28,415.6,960.7,174,482.03
117,35,130.2,473.75,448.67,201.45,560.12,412.71,971.6,180,490.28
118,36,130.6,465.36,452.23,198.87,571.24,407.9,962.6,188,485.41
119,34,131.9,448.97,451.51,196.64,552.54,411.29,949,166,492.88
120,33,131.7,442.1,447.89,193.54,524.18,413.41,938.2,162,475.7
121,33,132.1,428.89,447.88,193.18,505.88,410.57,924.7,143,475.6
122,33,131.4,434.62,453.34,192.39,514.73,405.76,909.4,144,478.57
123,34,131.2,433.64,467.42,185.72,527.12,407.83,904.9,142,486.9
124,37,130.5,437.71,473.31,193,553.74,413.48,947.6,151,481.8
125,38,131.2,439.55,472.72,198.19,580.08,419.05,976.8,150,475.77
126,37,132.1,457.25,475.8,202.47,578.55,455.07,1003.1,162,681
127,36,135.2,461.22,476.49,205.22,593.55,458.7,983.4,172,690.82
128,42,136.2,466.52,474.41,207.64,655.73,452.21,998.7,199,692.94
129,47,137.3,457.5,463.92,208.28,712.42,415.23,1007.3,208,499.39
130,48,137.1,466.76,460.19,209.41,801.25,456.18,1044,212,766.41
131,48,136.5,472.52,468.69,208.29,824.08,460.49,1080.4,243,760.86
132,50,135.8,469.87,470.46,206.92,821.09,458.08,1075,217,749.65
133,48,134.3,474.15,468.61,206.47,760.47,419.23,1070.7,208,488.48
134,47,133.8,481.21,463.34,207.41,696.81,420.02,1048,202,490.54
135,48,134,487.83,468.91,210.06,711.37,420.39,1058.3,213,490.51
136,47,135.6,473.68,462.6,208.33,702.8,412.62,1040.8,194,482.5
137,49,135.5,458.15,469.54,199.44,740.33,491.65,1022.9,227,892.34
138,50,136.2,450.36,466.51,201.61,737.23,490.22,1004.2,217,888.94
139,50,135.7,448.03,480.52,199.31,751.47,492.98,985.2,231,884.96
140,51,135.6,445.35,478.23,198.13,725.47,414.65,957.8,203,469.84
141,51,135.9,433.95,478.48,196.61,690.69,422.05,924.7,214,476.46
142,51,135.8,443.28,478.17,194.31,694.46,419.04,907.7,201,467.91
143,51,135.1,442.35,472.9,192.65,686.28,415.5,903.5,187,462.76
144,47,134.5,449.94,466.06,191.67,685.57,415.69,879.5,184,457.56
145,45,135,443,456.72,190.5,638.68,429.2,866.8,168,456.35
146,45,134.4,435.97,463.02,194.12,626.19,430.2,839.5,165,451.99
147,44,134.8,440.12,466.76,194.39,623.35,424.01,853.8,163,459.15
148,42,134.8,442.21,466.9,194.41,638.78,423.87,857.7,166,457.01
149,44,134.5,454.79,453.61,199.57,637.15,424.59,886.6,167,459.6
150,43,135.4,460.8,456.45,207.75,644.3,452.27,917.1,177,622.76
151,42,137.2,467.35,455.89,214.52,663.79,442.44,954,193,621.12
152,48,137.4,473.52,457.51,217.6,695.59,445.48,961.4,217,613.16
153,51,136.4,475.25,457.55,217.43,759.88,421.17,973.5,228,432.86
154,54,136.7,474.39,471.97,215.07,773.09,465.48,976.1,257,703.17
155,50,136.3,478.74,475.7,214.52,797.91,457.52,1004.9,289,706.02
156,47,134.7,484.52,478.65,212.49,763.23,454.93,1020.3,202,710.65
157,46,133.4,495.49,468.18,212.53,760.87,413.46,1053.2,197,448.63
158,44,132.8,491.27,461.34,215.08,761.85,409.42,1056.6,196,450
159,45,132.9,482.77,453.4,213.5,757.81,404.9,1045.5,208,446.87
160,42,132.9,457.68,452.26,207.28,763.31,403.63,1021.6,219,429.1
161,39,133.1,450.48,459.13,204.33,745.33,481.29,985.3,227,865.01
162,38,132.1,447.42,463.97,200.8,740.15,484.23,971.8,224,877.3
163,36,130.9,454.11,464.79,201.71,723.52,482.59,950.8,224,892.73
164,37,130.1,449.77,453.3,199.89,694.56,416.6,969.4,244,461.03
165,37,129.9,452.4,446.01,197.87,647.34,415.6,957.8,185,456.98
166,39,128.5,446.11,435.6,196.75,603.44,414.12,953,168,450.53
167,40,128.2,445.17,437.24,193.99,549.42,407.4,910.6,158,452.04
168,41,127.5,435.33,434.45,191.88,536.86,415.9,879.8,141,449.38
169,40,126.9,443.81,431.34,191.65,527.5,409.42,854.4,145,458.62
170,38,126.5,439.85,432.41,191.09,534.51,413.63,834.4,146,455.93
171,33,126.4,439.15,435.58,191,553,412.13,835.4,144,453.44
172,33,126.7,449.27,442.34,193.63,590.09,426.94,832.9,148,449.56
173,32,126.9,458.05,444.84,197.84,702.78,426.52,853.2,154,445.86
174,39,128.8,466.18,453.7,198.66,810.16,463.18,858.3,214,633.37
175,42,128.9,462.14,450.56,205.42,808.51,449.7,878.9,246,626.99
176,44,130.4,465.57,447.22,207.45,723.52,452.16,919.3,226,626.88
177,46,130.7,458.95,440.95,207.98,614.8,408.09,931.2,179,428.21
178,43,131.2,460.2,448.9,200.07,615.44,460.81,945.9,194,714.85
179,41,130.3,461.36,456.94,201.16,621.36,457.55,944.8,184,709.83
180,37,129.6,467.33,462.77,200.69,610.72,455.89,982,175,712.92
181,35,129.3,471.47,457.55,204.52,570.5,412.38,1000.9,162,426.9
182,30,129.3,469.19,458.22,207.3,556.36,411.7,1004.7,158,432.9
183,33,130.6,466.53,459.33,202.48,570.98,411.33,1019.4,168,440.07
184,34,130.6,453.42,455.03,193.71,626.9,405.5,997.6,177,441.74
185,35,129.7,443.5,454.05,188.47,672.46,480.83,992.5,185,910.99
186,38,128.5,437.06,458.68,186.6,760.94,486.2,988.7,213,912.09
187,38,129.1,435.25,464.54,189.33,786.26,486.81,975,198,919.86
188,39,128.3,438.1,461.5,190.4,770.77,414.5,948.3,218,455.03
189,38,127.8,441.65,451.33,192.13,713.38,405.55,916.1,212,456.59
190,40,127.4,436.57,440.39,188.9,648.17,419.11,904.5,169,452.24
191,36,127.1,437.46,434.75,187.11,606.8,418.74,873.3,152,446.02
192,33,127.3,430.5,427.41,186.35,545.13,432.95,832.2,140,444.43
193,30,128.4,433.1,435.55,180.76,528.7,427.41,818.6,153,446.07
194,23,127.5,428.06,436.59,180.19,511.54,423.45,827.9,134,448.68
195,24,127.1,429.22,440.02,180.75,520.56,414.22,821.1,136,454.37
196,28,127,423.99,436.29,181.39,537.5,414.78,799.8,139,461.09
197,31,127,425.78,431.21,184.74,613.17,416.29,798.3,143,469.95
198,29,127.5,429.75,438.77,185.52,701.56,447.09,820,206,653.45
199,44,128.6,437.55,434.98,187.1,718.98,437.84,870.5,253,651.51
200,41,129.5,441.63,442.06,190.66,663.99,428.69,915.1,192,639.02
201,41,130.5,447.24,431.2,193.1,614.57,402.59,937.6,186,458.34
202,40,129.8,447.06,436.57,193.9,592.7,444.65,949.5,175,736.4
203,36,127.8,448.35,439.11,193.68,617.15,459.98,948.4,176,742.19
204,29,129.1,441.38,448.99,194.7,584.42,457.82,964.5,172,731.91
205,28,128.5,439.91,442.25,193.15,586.95,415.91,999.1,171,459.65
206,30,127.3,441.1,438.23,194.72,569.72,417.43,1035.2,167,482.28
207,34,128.2,441.65,425.94,195.25,605.56,428.67,1060.4,187,527.12
208,36,129,453.2,432.77,195.29,648.33,431.51,1048.5,189,553.59
