thermal_demand,co2_price,gas_price,electricity_price,wp_price
0.700957198,82.25,94.548,128.92,24.94
0.686216259,82.25,94.548,118.4,24.94
0.678359411,82.25,94.548,103.01,24.94
0.681580376,82.25,94.548,101.91,24.94
0.685207258,82.25,94.548,101.98,24.94
0.691972038,82.25,94.548,114.99,24.94
0.737745811,82.25,94.548,140.19,24.94
0.751100953,82.25,94.548,152.64,24.94
0.764601201,82.25,94.548,160.97,24.94
0.74424405,82.25,94.548,161.85,24.94
0.811253149,82.25,94.548,161.37,24.94
0.826234133,82.25,94.548,166.06,24.94
0.807934424,82.25,94.548,166.54,24.94
0.757802841,82.25,94.548,166.04,24.94
0.755940395,82.25,94.548,169.43,24.94
0.750983563,82.25,94.548,189.7,24.94
0.739877333,82.25,94.548,201.97,24.94
0.822546725,82.25,94.548,243.11,24.94
0.820715163,82.25,94.548,253.81,24.94
0.817365187,82.25,94.548,237.05,24.94
0.726781366,82.25,94.548,224.33,24.94
0.703540047,82.25,94.548,213.81,24.94
0.687245269,82.25,94.548,185.94,24.94
0.667010619,82.25,94.548,148.32,24.94
0.654652638,82.25,90.886,164.17,24.94
0.650266668,82.25,90.886,152.83,24.94
0.647332774,82.25,90.886,166,24.94
0.649261876,82.25,90.886,160.86,24.94
0.661699074,82.25,90.886,160,24.94
0.688488895,82.25,90.886,154.3,24.94
0.764361505,82.25,90.886,166,24.94
0.770414152,82.25,90.886,182.91,24.94
0.760269758,82.25,90.886,215.89,24.94
0.689196808,82.25,90.886,231,24.94
0.755223853,82.25,90.886,228.95,24.94
0.75413357,82.25,90.886,215.39,24.94
0.758741239,82.25,90.886,206.68,24.94
0.693608269,82.25,90.886,185,24.94
0.691299053,82.25,90.886,169.52,24.94
0.699199497,82.25,90.886,162.8,24.94
0.70166413,82.25,90.886,161.34,24.94
0.805076294,82.25,90.886,189.9,24.94
0.826088193,82.25,90.886,170.71,24.94
0.82830646,82.25,90.886,140.23,24.94
0.728268468,82.25,90.886,102.54,24.94
0.7086634,82.25,90.886,102.18,24.94
0.685678671,82.25,90.886,102.29,24.94
0.666499914,82.25,90.886,90.05,24.94
0.644992269,82.25,90.886,85.03,24.94
0.641827424,82.25,90.886,84.4,24.94
